id,manufacturer,model,cells_s,capacity_mah,c_rating,voltage_nom_v,max_discharge_a,mass_g,price_usd,url
bat_000,KOKAM,KOKAM SLPB526495,1,3300,2,3.7,9.9,67.0,50.0,
bat_001,KOKAM,KOKAM SLPB776495,1,5300,2,3.7,15.9,102.0,50.0,
bat_002,ProLiteX,TP500-2SPX25J,1,500,25,7.4,25.0,30.0,50.0,
bat_003,ProLiteX,TP750-2SPX25J,1,750,25,7.4,37.5,39.0,50.0,
bat_004,ProLiteX,TP750-3SPX25J,1,750,25,11.1,37.5,57.0,50.0,
bat_005,ProLiteX,TP910-2SPX25J,1,910,25,7.4,45.5,47.0,50.0,
bat_006,ProLiteX,TP1350-2SPX25J,1,1350,25,7.4,67.5,61.0,50.0,
bat_007,ProLiteX,TP1350-3SPX25J,1,1350,25,11.1,67.5,94.0,50.0,
bat_008,ProLiteX,TP2200-4SPX25,1,2200,25,14.8,110.0,197.0,50.0,
bat_009,ProLiteX,TP2800-2SPX25,1,2800,25,7.4,140.0,123.0,50.0,
bat_010,ProLiteX,TP2800-3SPX25,1,2800,25,11.1,140.0,181.0,50.0,
bat_011,ProLiteX,TP2800-3SPX25EJ,1,2800,25,11.1,140.0,181.0,50.0,
bat_012,ProLiteX,TP2800-3SPX25XJ,1,2800,25,11.1,140.0,181.0,50.0,
bat_013,ProLiteX,TP2800-4SPX25,1,2800,25,14.8,140.0,234.0,50.0,
bat_014,ProLiteX,TP2800-5SPX25,1,2800,25,18.5,140.0,290.0,50.0,
bat_015,ProLiteX,TP2800-6SPX25,1,2800,25,22.2,140.0,351.0,50.0,
bat_016,ProLiteX,TP4000-2SPX25,1,4000,25,7.4,200.0,156.0,50.0,
bat_017,ProLiteX,TP6000-2SPX25,1,6000,25,7.4,300.0,256.0,50.0,
bat_018,ProLiteX,TP6000-3SPX25,1,6000,25,11.1,300.0,372.0,50.0,
bat_019,RAMPAGE,TP325-1SR70J,1,325,70,3.7,45.5,12.0,50.0,
bat_020,RAMPAGE,TP325-2SR70B,1,325,70,7.4,45.5,23.0,50.0,
bat_021,KOKAM,KOKAM SLPB526495,1,6600,2,3.7,19.8,134.0,50.0,
bat_022,KOKAM,KOKAM SLPB776495,1,10600,2,3.7,31.8,204.0,50.0,
bat_023,ProLiteX,TP910-2SPX25J,1,1820,25,7.4,91.0,94.0,50.0,
bat_024,ProLiteX,TP1350-2SPX25J,1,2700,25,7.4,135.0,122.0,50.0,
bat_025,ProLiteX,TP2800-5SPX25,1,5600,25,18.5,280.0,580.0,50.0,
bat_026,ProLiteX,TP2800-6SPX25,1,5600,25,22.2,280.0,702.0,50.0,
bat_027,ProLiteX,TP4000-2SPX25,1,8000,25,7.4,400.0,312.0,50.0,
bat_028,KOKAM,KOKAM SLPB526495,1,9900,2,3.7,29.700000000000003,201.0,50.0,
bat_029,KOKAM,KOKAM SLPB776495,1,15900,2,3.7,47.7,306.0,50.0,
bat_030,ProLiteX,TP4000-2SPX25,1,12000,25,7.4,600.0,467.99999999999994,50.0,
bat_031,KOKAM,KOKAM SLPB526495,1,13200,2,3.7,39.6,268.0,50.0,
bat_032,KOKAM,KOKAM SLPB776495,1,21200,2,3.7,63.6,408.0,50.0,
bat_033,ProLiteX,TP4000-2SPX25,1,16000,25,7.4,800.0,624.0,50.0,
bat_034,KOKAM,KOKAM SLPB526495,1,16500,2,3.7,49.5,335.0,50.0,
bat_035,KOKAM,KOKAM SLPB776495,1,26500,2,3.7,79.5,510.0,50.0,
bat_036,ProLiteX,TP4000-2SPX25,1,20000,25,7.4,1000.0,780.0,50.0,
bat_037,KOKAM,KOKAM SLPB526495,1,19800,2,3.7,59.400000000000006,402.0,50.0,
bat_038,KOKAM,KOKAM SLPB776495,1,31800,2,3.7,95.4,612.0,50.0,
bat_039,ProLiteX,TP4000-2SPX25,1,24000,25,7.4,1200.0,936.0,50.0,
bat_040,KOKAM,KOKAM SLPB776495,1,37100,2,3.7,111.3,714.0,50.0,
bat_041,ProLiteX,TP4000-2SPX25,1,28000,25,7.4,1400.0,1092.0,50.0,
bat_042,KOKAM,KOKAM SLPB776495,1,42400,2,3.7,127.2,816.0,50.0,
bat_043,ProLiteX,TP4000-2SPX25,1,32000,25,7.4,1600.0,1248.0,50.0,
bat_044,KOKAM,KOKAM SLPB526495,1,29700,2,3.7,89.10000000000001,603.0,50.0,
bat_045,KOKAM,KOKAM SLPB776495,1,47700,2,3.7,143.1,918.0,50.0,
bat_046,ProLiteX,TP4000-2SPX25,1,36000,25,7.4,1800.0,1404.0,50.0,
bat_047,KOKAM,KOKAM SLPB526495,1,33000,2,3.7,99.0,670.0,50.0,
bat_048,KOKAM,KOKAM SLPB776495,1,53000,2,3.7,159.0,1020.0,50.0,
bat_049,ProLiteX,TP4000-2SPX25,1,40000,25,7.4,2000.0,1560.0,50.0,
bat_050,KOKAM,KOKAM SLPB776495,1,58300,2,3.7,174.9,1122.0,50.0,
bat_051,ProLiteX,TP4000-2SPX25,1,44000,25,7.4,2200.0,1716.0,50.0,
bat_052,KOKAM,KOKAM SLPB776495,1,63600,2,3.7,190.8,1224.0,50.0,
bat_053,ProLiteX,TP4000-2SPX25,1,48000,25,7.4,2400.0,1872.0,50.0,
bat_054,KOKAM,KOKAM SLPB526495,1,42900,2,3.7,128.70000000000002,871.0,50.0,
bat_055,KOKAM,KOKAM SLPB776495,1,68900,2,3.7,206.7,1325.9999999999998,50.0,
bat_056,ProLiteX,TP4000-2SPX25,1,52000,25,7.4,2600.0,2028.0,50.0,
bat_057,KOKAM,KOKAM SLPB776495,1,74200,2,3.7,222.6,1428.0,50.0,
bat_058,ProLiteX,TP4000-2SPX25,1,56000,25,7.4,2800.0,2184.0,50.0,
bat_059,KOKAM,KOKAM SLPB526495,1,49500,2,3.7,148.5,1004.9999999999999,50.0,
bat_060,KOKAM,KOKAM SLPB776495,1,79500,2,3.7,238.5,1529.9999999999998,50.0,
bat_061,ProLiteX,TP4000-2SPX25,1,60000,25,7.4,3000.0,2340.0,50.0,
bat_062,KOKAM,KOKAM SLPB776495,1,84800,2,3.7,254.4,1632.0,50.0,
bat_063,ProLiteX,TP4000-2SPX25,1,64000,25,7.4,3200.0,2496.0,50.0,
bat_064,KOKAM,KOKAM SLPB776495,1,90100,2,3.7,270.3,1734.0,50.0,
bat_065,ProLiteX,TP4000-2SPX25,1,68000,25,7.4,3400.0,2652.0,50.0,
bat_066,KOKAM,KOKAM SLPB526495,1,59400,2,3.7,178.20000000000002,1206.0,50.0,
bat_067,KOKAM,KOKAM SLPB776495,1,95400,2,3.7,286.2,1836.0,50.0,
bat_068,ProLiteX,TP4000-2SPX25,1,72000,25,7.4,3600.0,2808.0,50.0,
bat_069,KOKAM,KOKAM SLPB776495,1,100700,2,3.7,302.1,1938.0,50.0,
bat_070,ProLiteX,TP4000-2SPX25,1,76000,25,7.4,3800.0,2964.0,50.0,
bat_071,KOKAM,KOKAM SLPB776495,1,106000,2,3.7,318.0,2040.0,50.0,
bat_072,ProLiteX,TP4000-2SPX25,1,80000,25,7.4,4000.0,3120.0,50.0,
bat_073,KOKAM,KOKAM SLPB526495,2,3300,2,7.4,9.9,134.0,50.0,
bat_074,KOKAM,KOKAM SLPB776495,2,5300,2,7.4,15.9,204.0,50.0,
bat_075,ProLiteX,TP910-2SPX25J,2,910,25,14.8,45.5,94.0,50.0,
bat_076,ProLiteX,TP1350-2SPX25J,2,1350,25,14.8,67.5,122.0,50.0,
bat_077,ProLiteX,TP2800-5SPX25,2,2800,25,37.0,140.0,580.0,50.0,
bat_078,ProLiteX,TP2800-6SPX25,2,2800,25,44.4,140.0,702.0,50.0,
bat_079,ProLiteX,TP4000-2SPX25,2,4000,25,14.8,200.0,312.0,50.0,
bat_080,KOKAM,KOKAM SLPB526495,2,6600,2,7.4,19.8,268.0,50.0,
bat_081,KOKAM,KOKAM SLPB776495,2,10600,2,7.4,31.8,408.0,50.0,
bat_082,ProLiteX,TP4000-2SPX25,2,8000,25,14.8,400.0,624.0,50.0,
bat_083,KOKAM,KOKAM SLPB526495,2,9900,2,7.4,29.700000000000003,402.0,50.0,
bat_084,KOKAM,KOKAM SLPB776495,2,15900,2,7.4,47.7,612.0,50.0,
bat_085,ProLiteX,TP4000-2SPX25,2,12000,25,14.8,600.0,936.0,50.0,
bat_086,KOKAM,KOKAM SLPB776495,2,21200,2,7.4,63.6,816.0,50.0,
