id,manufacturer,model,kv,max_current_a,voltage_max_v,voltage_min_v,max_power_w,mass_g,price_usd,url
mtr_000,AXI,AXI 2203/RACE GOLD LINE,2300,9.0,11.1,7.4,99.89999999999999,18.5,50.0,
mtr_001,AXI,AXI 2203/52 GOLD LINE,1525,7.0,7.4,7.4,51.800000000000004,18.5,50.0,
mtr_002,AXI,AXI 2203/40VPP GOLD LINE,2000,9.0,7.4,7.4,66.60000000000001,17.5,50.0,
mtr_003,AXI,AXI 2203/46 GOLD LINE,1720,8.5,7.4,7.4,62.900000000000006,18.5,50.0,
mtr_004,AXI,AXI 2204/54 GOLD LINE,1400,7.5,11.1,7.4,83.25,25.9,50.0,
mtr_005,AXI,AXI 2208/26 GOLD LINE,1420,11.0,11.1,7.4,122.1,45.0,50.0,
mtr_006,AXI,AXI 2208/34 GOLD LINE,1100,8.0,11.1,7.4,88.8,45.0,50.0,
mtr_007,AXI,AXI 2208/20 GOLD LINE,1820,16.0,11.1,7.4,177.6,45.0,50.0,
mtr_008,AXI,AXI 2808/16 GOLD LINE,1820,25.0,11.1,7.4,277.5,76.0,50.0,
mtr_009,AXI,AXI 2217/5H GOLD LINE,3000,34.0,11.1,7.4,377.4,68.5,50.0,
mtr_010,AXI,AXI 2808/20 GOLD LINE,1490,22.0,11.1,7.4,244.2,76.0,50.0,
mtr_011,AXI,AXI 2212/20 GOLD LINE,1150,16.0,11.1,7.4,177.6,57.0,50.0,
mtr_012,AXI,AXI 2212/26 GOLD LINE,920,12.0,11.1,7.4,133.2,57.0,50.0,
mtr_013,AXI,AXI 2212/12 GOLD LINE,1950,28.0,11.1,7.4,310.8,57.0,50.0,
mtr_014,AXI,AXI 2212/34 GOLD LINE,710,10.0,11.1,7.4,111.0,57.0,50.0,
mtr_015,AXI,AXI 2808/24 GOLD LINE,1190,22.0,11.1,7.4,244.2,76.0,50.0,
mtr_016,AXI,AXI 2814/6D GOLD LINE,2850,55.0,11.1,7.4,610.5,106.0,50.0,
mtr_017,AXI,AXI 2217/20 GOLD LINE,840,18.0,14.8,7.4,266.40000000000003,69.5,50.0,
mtr_018,AXI,AXI 2217/16 GOLD LINE,1050,22.0,11.1,7.4,244.2,69.5,50.0,
mtr_019,AXI,AXI 2814/12 GOLD LINE,1390,35.0,11.1,7.4,388.5,106.0,50.0,
mtr_020,AXI,AXI 2814/10 GOLD LINE,1640,40.0,11.1,7.4,444.0,106.0,50.0,
mtr_021,AXI,AXI 2814/16 GOLD LINE,1035,30.0,11.1,7.4,333.0,106.0,50.0,
mtr_022,AXI,AXI 2814/20 GOLD LINE,840,25.0,14.8,7.4,370.0,106.0,50.0,
mtr_023,AXI,AXI 2217/12 GOLD LINE,1380,30.0,11.1,7.4,333.0,69.5,50.0,
mtr_024,AXI,AXI 2820/8 GOLD LINE,1500,55.0,11.1,7.4,610.5,151.0,50.0,
mtr_025,AXI,AXI 2820/10 GOLD LINE,1200,42.0,14.8,7.4,621.6,151.0,50.0,
mtr_026,AXI,AXI 2820/12 GOLD LINE,990,37.0,14.8,7.4,547.6,151.0,50.0,
mtr_027,AXI,AXI 2826/6 GOLD LINE,1500,65.0,11.1,7.4,721.5,181.0,50.0,
mtr_028,AXI,AXI 2826/8 GOLD LINE,1130,55.0,11.1,7.4,610.5,181.0,50.0,
mtr_029,AXI,AXI 2826/10 GOLD LINE,920,42.0,18.5,7.4,777.0,181.0,50.0,
mtr_030,AXI,AXI 2826/12 GOLD LINE,760,37.0,18.5,7.4,684.5,181.0,50.0,
mtr_031,AXI,AXI 2820/14 GOLD LINE,860,36.0,14.8,7.4,532.8000000000001,151.0,50.0,
mtr_032,AXI,AXI 4120/14 GOLD LINE,660,55.0,18.5,7.4,1017.5,320.0,50.0,
mtr_033,AXI,AXI 4120/18 GOLD LINE,515,55.0,25.9,7.4,1424.5,320.0,50.0,
mtr_034,AXI,AXI 4120/20 GOLD LINE,465,52.0,22.2,7.4,1154.3999999999999,320.0,50.0,
mtr_035,AXI,AXI 4130/16 GOLD LINE,385,60.0,29.6,7.4,1776.0,409.0,50.0,
mtr_036,AXI,AXI 4130/20 GOLD LINE,305,55.0,29.6,7.4,1628.0,409.0,50.0,
mtr_037,AXI,AXI 5320/28 GOLD LINE,249,65.0,37.0,7.4,2405.0,495.0,50.0,
mtr_038,AXI,AXI 5320/18 GOLD LINE,370,78.0,22.2,7.4,1731.6,495.0,50.0,
mtr_039,AXI,AXI 5320/24 GOLD LINE,206,50.0,37.0,7.4,1850.0,495.0,50.0,
mtr_040,AXI,AXI 5330/24 GOLD LINE,197,65.0,37.0,7.4,2405.0,652.0,50.0,
mtr_041,AXI,AXI 5325/16 GOLD LINE,350,85.0,22.2,7.4,1887.0,575.0,50.0,
mtr_042,AXI,AXI 5325/16 GOLD LINE,350,85.0,22.2,7.4,1887.0,575.0,50.0,
mtr_043,AXI,AXI 5325/18 GOLD LINE,308,80.0,29.6,7.4,2368.0,575.0,50.0,
mtr_044,AXI,AXI 5330/18 GOLD LINE,259,80.0,37.0,7.4,2960.0,652.0,50.0,
mtr_045,AXI,AXI 5325/20 GOLD LINE,280,78.0,29.6,7.4,2308.8,575.0,50.0,
mtr_046,AXI,AXI 5325/24 GOLD LINE,232,75.0,37.0,7.4,2775.0,575.0,50.0,
mtr_047,AXI,AXI 5345/18HD GOLD LINE,171,75.0,44.4,7.4,3330.0,995.0,50.0,
mtr_048,SCORPION,Scorpion S-1804-1650KV,1650,5.0,33.3,7.4,166.5,12.0,50.0,
mtr_049,SCORPION,Scorpion S-1805-2250KV,2250,7.0,33.3,7.4,233.09999999999997,16.0,50.0,
mtr_050,SCORPION,?Scorpion SII-2205-1900KV (V2),1900,12.0,44.4,7.4,532.8,35.4,50.0,
mtr_051,SCORPION,?Scorpion SII-2205-1585KV (V2),1585,10.0,44.4,7.4,444.0,35.4,50.0,
mtr_052,SCORPION,Scorpion SII-2205-1490KV (V2),1490,10.0,44.4,7.4,444.0,35.4,50.0,
mtr_053,SCORPION,?Scorpion SII-2208-1100KV (V2),1100,12.0,44.4,7.4,532.8,45.0,50.0,
mtr_054,SCORPION,?Scorpion SII-2208-1280KV (V2),1280,14.0,44.4,7.4,621.6,45.0,50.0,
mtr_055,SCORPION,?Scorpion SII-2212-885KV (V2),885,13.0,44.4,7.4,577.1999999999999,58.0,50.0,
mtr_056,SCORPION,?Scorpion SII-2212-960KV (V2),960,13.0,44.4,7.4,577.1999999999999,58.0,50.0,
mtr_057,SCORPION,?Scorpion SII-2212-1070KV (V2),1070,15.0,44.4,7.4,666.0,58.0,50.0,
