manufacturer,model,max_current_a,mass_g,voltage_max_v,max_power_w,price_usd,url,id,Dominated,current_margin,mass_score,price_score,score
YGE,YGE 200 HV FAI ,200,119.0,44.4,8880,30.0,,esc_22,,5.827500017018342,0.1783132530120482,0.0,-0.49359337519581015
YGE,YGE 200 HV FAI ,200,119.0,44.4,8880,30.0,,esc_12,0.0,5.827500017018342,0.1783132530120482,0.0,-0.49359337519581015
KOSMIK,Kosmik 200+ HV ,200,200.0,51.8,10360,30.0,,esc_0,0.0,5.827500017018342,0.37349397590361444,0.0,-0.396003013750027
KOSMIK,Kosmik 200+ HV ,200,200.0,51.8,10360,30.0,,esc_7,,5.827500017018342,0.37349397590361444,0.0,-0.396003013750027
YGE,YGE 150 HV FAI ,150,89.0,44.4,6660,30.0,,esc_21,,4.370625012763757,0.10602409638554217,0.0,-0.38405045308360464
YGE,YGE 150 HV FAI ,150,89.0,44.4,6660,30.0,,esc_11,0.0,4.370625012763757,0.10602409638554217,0.0,-0.38405045308360464
YGE,YGE 160 HV ,160,156.0,51.8,8288,30.0,,esc_24,,4.662000013614674,0.2674698795180723,0.0,-0.3324650616024313
KOSMIK,Kosmik 160+ HV ,160,200.0,51.8,8288,30.0,,esc_6,,4.662000013614674,0.37349397590361444,0.0,-0.27945301340966017
SPIN OPTO,SPIN 125 OPTO ,125,120.0,44.4,5550,30.0,,esc_51,,3.6421875106364636,0.18072289156626506,0.0,-0.27385730528051383
SPIN OPTO,SPIN 300 OPTO ,220,360.0,51.8,11396,30.0,,esc_25,0.0,6.410250018720176,0.7590361445783133,0.0,-0.261506929582861
SPIN OPTO,SPIN 300 OPTO ,220,360.0,51.8,11396,30.0,,esc_53,,6.410250018720176,0.7590361445783133,0.0,-0.261506929582861
YGE,YGE 120 HV ,120,119.0,51.8,6216,30.0,,esc_23,,3.496500010211005,0.1783132530120482,0.0,-0.2604933745150765
JIVE,Powerkive 120+ HV ,120,140.0,44.4,5328,30.0,,esc_5,,3.496500010211005,0.2289156626506024,0.0,-0.23519216969579937
TURNIGY,Turnigy Monster 2000 ,200,335.0,44.4,8880,30.0,,esc_54,,5.827500017018342,0.6987951807228916,0.0,-0.23335241134038842
SPIN OPTO,MasterSPIN 125 Opto ,125,160.0,44.4,5550,30.0,,esc_36,,3.6421875106364636,0.27710843373493976,0.0,-0.2256645341961765
SPIN OPTO,MasterSPIN 170 Opto ,170,270.0,51.8,8806,30.0,,esc_37,,4.953375014465591,0.5421686746987951,0.0,-0.2242531640971615
YGE,YGE 90 HV ,90,79.0,44.4,3996,30.0,,esc_20,,2.622375007658254,0.0819277108433735,0.0,-0.22127364534413868
YGE,YGE 90 HV ,90,79.0,44.4,3996,30.0,,esc_10,0.0,2.622375007658254,0.0819277108433735,0.0,-0.22127364534413868
SPIN OPTO,MasterSPIN 99 0pto ,99,105.0,44.4,4396,30.0,,esc_35,,2.884612508424079,0.14457831325301204,0.0,-0.2161720942159019
TURNIGY,Turnigy Superbrain ,100,109.0,44.4,4440,30.0,,esc_58,,2.913750008509171,0.15421686746987953,0.0,-0.21426656711597736
SPIN OPTO,SPIN 75 OPTO ,75,55.0,37.0,2775,30.0,,esc_48,,2.1853125063818784,0.024096385542168676,0.0,-0.2064830578671035
SPIN OPTO,SPIN 75 OPTO ,75,55.0,37.0,2775,30.0,,esc_24,0.0,2.1853125063818784,0.024096385542168676,0.0,-0.2064830578671035
SPIN OPTO,MasterSPIN 75 0pto ,75,55.0,37.0,2775,30.0,,esc_17,0.0,2.1853125063818784,0.024096385542168676,0.0,-0.2064830578671035
SPIN OPTO,MasterSPIN 75 0pto ,75,55.0,37.0,2775,30.0,,esc_33,,2.1853125063818784,0.024096385542168676,0.0,-0.2064830578671035
