id,manufacturer,model,kv,max_current_a,voltage_max_v,voltage_min_v,max_power_w,mass_g,price_usd,url,Ref.,Kv_SI,Pole (number),Io (A),R_ohm,No s,Voltage,Kt_Nm_A,Tnom_Nm,Rend nom,Icc,I opt,Eta opt,Cf_Nm,Tmax_Nm,power_margin,current_margin,mass_score,price_score,margin_score,score,v_nom_used,thrust_per_motor_gf,hover_power_w_est,peak_power_w_est,peak_current_a_est
mtr_175,maxon EC ,"EC 25 ?25 mm, brushless, 250 Watt",1780,294.0,36.0,7.4,10584.0,240.0,50.0,,,,,,,,,,,,,,,,,13.891500040568046,8.566425025016963,0.08146300914380715,0.0,11.228962532792504,-3.336103556180228,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_198,maxon EC ,"EC 45 ?45 mm, brushless, 250 Watt",291,175.0,36.0,7.4,6300.0,1150.0,50.0,,,,,,,,,,,,,,,,,8.268750024147646,5.099062514891049,0.4596841230257689,0.0,6.683906269519348,-1.8212982316454966,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_200,maxon EC ,"EC 45 ?45 mm, brushless, 250 Watt",224,143.0,48.0,7.4,6864.0,1150.0,50.0,,,,,,,,,,,,,,,,,9.009000026309435,4.166662512168115,0.4596841230257689,0.0,6.587831269238775,-1.792475731561325,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_202,maxon EC ,"EC 60 ?60 mm, brushless, 400 Watt",113,139.0,48.0,7.4,6672.0,2450.0,50.0,,,,,,,,,,,,,,,,,8.757000025573507,4.050112511827748,1.0,0.0,6.403556268700628,-1.5210668806101881,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_196,maxon EC ,"EC 45 ?45 mm, brushless, 250 Watt",364,167.0,24.0,7.4,4008.0,1150.0,50.0,,,,,,,,,,,,,,,,,5.260500015362503,4.865962514210316,0.4596841230257689,0.0,5.06323126478641,-1.3350957302256155,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_095,SCORPION,Scorpion SII-6530-180KV,180,110.0,44.4,7.4,4884.0,1043.0,50.0,,,,,,,,,,,,,,,,,6.410250018720175,3.205125009360088,0.415211970074813,0.0,4.807687514040132,-1.2762214661821143,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_15,SCORPION,Scorpion SII-6530-180KV,180,110.0,44.4,7.4,4884.0,1043.0,50.0,,95.0,18.84955592,14.0,1.26,0.022,12.0,44.4,0.053051648,5.769,93.46652744,2018.181818,50.42726535,95.06513587,0.066845076,5.835681247,6.410250018720175,3.205125009360088,0.415211970074813,0.0,4.807687514040132,-1.2762214661821143,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_084,SCORPION,?Scorpion SII-4025-520KV,520,100.0,44.4,7.4,4440.0,353.0,50.0,,,,,,,,,,,,,,,,,5.827500017018341,2.913750008509171,0.128428927680798,0.0,4.370625012763756,-1.2598159327568075,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_8,SCORPION,?Scorpion SII-4020-630KV,630,95.0,44.4,7.4,4218.0,288.0,50.0,,81.0,65.97344573,14.0,1.54,0.015,12.0,44.4,0.015157614,1.417,95.22151494,2960.0,67.51592405,95.49014027,0.023342725,1.439973295,5.536125016167424,2.7680625080837125,0.10141313383208644,0.0,4.152093762125569,-1.205062875104836,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_081,SCORPION,?Scorpion SII-4020-630KV,630,95.0,44.4,7.4,4218.0,288.0,50.0,,,,,,,,,,,,,,,,,5.536125016167424,2.7680625080837125,0.10141313383208644,0.0,4.152093762125569,-1.205062875104836,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
