model,Product Description,Product Code (SKU),Categories,Price ($),Status,Hub Diameter,Hub Thickness,Shaft Diameter,Weight,diameter_in,pitch_in,Diameter (METERS),Pitch (-),Color,UPC Code,Product Weight (NOT for Shipping Calculations) (LBS) ,mass_g,manufacturer,price_usd,url,id,Weight (KG),Ct_static,Cp_static,BETA,J,V,Pe,ct,cp,PWR_Hp,Torque_In-Lbf,Thrust_Lbf,Ct*,Cp*,Dominated,J_adv-ratio,V_mph,Efficiency,diam_diff,mass_score,score
14.5x11-4,"4 Blade
140 Pattern",LP414511,"Sport, Pattern, 4 Bladed (for IC Engines)",23.75,Discontinued,,,5/16 in.,,14.5,11.0,0.3683,0.75862069,Grey,686661000000.0,,0.0,APC,10.0,,prop_588,,,,,,,,,,,,,,,,,,,0.06624329133516937,0.0,0.03234182177100351
14.5x14N,120 Pattern Narrow,LP14514N,"Sport, Pattern",10.49,Discontinued,1.13 in.,0.63 in.,5/16 in.,2.19 oz.,14.5,14.0,0.3683,0.965517241,Grey,686661000000.0,0.1369,62.1,APC,10.0,,prop_591,,,,,,,,,,,,,,,,,,,0.06624329133516937,0.5127993393889348,0.18618162358768395
14.5x14.5N,120 Pattern Narrow,LP145145N,"Sport, Pattern",10.49,Discontinued,1.13 in.,0.65 in.,5/16 in.,2.26 oz.,14.5,14.5,0.3683,1.0,Grey,686661000000.0,0.1413,64.1,APC,10.0,,prop_592,,,,,,,,,,,,,,,,,,,0.06624329133516937,0.5293146160198183,0.191136206576949
14.4x10.5,120 Pattern,LP144105,"Sport, Pattern",10.49,Discontinued,1.13 in.,0.67 in.,5/16 in.,2.61 oz.,14.4,10.5,0.36576,0.729166667,Grey,686661000000.0,0.1631,74.0,APC,10.0,,prop_583,,,,,,,,,,,,,,,,,,,0.03375670866483027,0.611065235342692,0.19980053694987082
14.4x12,120 Pattern,LP14412,"Sport, Pattern",10.49,Discontinued,1.13 in.,0.66 in.,5/16 in.,2.65 oz.,14.4,12.0,0.36576,0.833333333,Grey,686661000000.0,0.1656,75.1,APC,10.0,,prop_584,,,,,,,,,,,,,,,,,,,0.03375670866483027,0.620148637489678,0.20252555759396662
14.4x14,120 Pattern,LP14414,"Sport, Pattern",10.49,Discontinued,1.50 in.,0.74 in.,5/16 in.,2.89 oz.,14.4,14.0,0.36576,0.972222222,Grey,686661000000.0,0.1806,81.9,APC,10.0,,prop_587,,,,,,,,,,,,,,,,,,,0.03375670866483027,0.6763005780346821,0.21937113975746786
14.4x13,120 Pattern,LP14413,"Sport, Pattern",10.49,Discontinued,1.13 in.,0.75 in.,5/16 in.,3.00 oz.,14.4,13.0,0.36576,0.902777778,Grey,686661000000.0,0.1875,85.0,APC,10.0,,prop_585,,,,,,,,,,,,,,,,,,,0.03375670866483027,0.7018992568125516,0.2270507433908287
14.4x13.5,120 Pattern,LP144135,"Sport, Pattern",10.49,Discontinued,1.13 in.,0.75 in.,5/16 in.,3.00 oz.,14.4,13.5,0.36576,0.9375,Grey,686661000000.0,0.1875,85.0,APC,10.0,,prop_586,,,,,,,,,,,,,,,,,,,0.03375670866483027,0.7018992568125516,0.2270507433908287
APC MR,,,,,,,,,,14.0,5.500000002,,,,,,15.0,APC MR,10.0,,prop_1445,,,,0.392857143,,,,0.088,0.0341,0.184,2.323,2.692,0.090097677,0.036549354,,0.11,7.2,0.2803,0.4337567086648306,0.12386457473162676,0.248931491238819
APC MR,,,,,,,,,,14.0,5.500000002,,,,,,15.0,APC MR,10.0,,prop_1444,,,,0.392857143,,,,0.0902,0.0341,0.185,2.328,2.758,0.092040275,0.036381618,,0.09,5.8,0.2292,0.4337567086648306,0.12386457473162676,0.248931491238819
